Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,deployment,n_samples,num_shots,prompt_name,seed,segmenter,split,temperature,exact_match/mean,f1_score/mean,negative_ratio/mean,positive_ratio/mean,precision/mean,recall/mean
2024-09-14 12:21:31,11.7min,ed403a1c6f234736949e157f19a0d35f,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,5,spacy,test,0.1,0.7826,0.9288276551550406,0.9147000000000001,1.0311333333333335,0.8945333333333334,0.9743999999999999
2024-09-14 12:10:31,13.8min,4d3c83af333341a3b15cb8a0a76038af,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,5,nbme,test,0.1,0.8419,0.9164685919774496,0.9102666666666667,1.0293333333333334,0.8847,0.9604333333333334
2024-09-14 12:10:07,11.4min,936378d4d2a4464ebc4e9bbdad49c3ba,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,4,spacy,test,0.1,0.7928333333333333,0.932728496457375,0.9208333333333333,1.0229666666666666,0.8986,0.9779333333333333
2024-09-14 11:14:38,11.6min,f5cf9c905aa24b7a9bb02b4243684a11,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,3,spacy,test,0.1,0.7921,0.934467349333374,0.9422333333333334,1.0103000000000002,0.905,0.9733333333333334
2024-09-14 11:09:12,14.0min,156428787add46ad8554ce6f89d18415,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,4,nbme,test,0.1,0.8414666666666667,0.9186436277571284,0.9174333333333334,1.0151000000000001,0.8875333333333333,0.9604333333333334
2024-09-09 08:04:50,25.7min,a47b8b157855407595c0910dd663137e,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,3,nbme,test,0.1,0.8463333333333334,0.9180275417563759,0.9208666666666666,1.0274666666666668,0.8893000000000001,0.9577333333333333
2024-09-09 07:50:51,24.3min,0a4c1335b08140d18b99e84485cc90dc,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,2,spacy,test,0.1,0.7816333333333334,0.9348170031459978,0.9253666666666667,1.0070333333333334,0.9063333333333332,0.9728333333333334
2024-09-09 07:39:33,25.3min,0c50bc6a530d4a55a9e54ba24c669c76,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,2,nbme,test,0.1,0.8483666666666666,0.9189409490979942,0.9214333333333333,1.0141,0.8933333333333333,0.9567
2024-09-09 07:25:50,25.0min,b2a10149ccab4e6d826534e70431ecde,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,1,spacy,test,0.1,0.7837999999999999,0.9338816330873401,0.9095333333333334,1.0260333333333334,0.8989,0.9803333333333334
2024-09-09 07:18:18,21.2min,6577ee9616a54722b7640877ec7ce355,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,1,nbme,test,0.1,0.8349,0.9127506384168722,0.9066000000000001,1.0267333333333333,0.8814666666666666,0.9562999999999999
2024-09-09 02:00:00,18.1min,e7523be980c64bc7b07a5048015b007b,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,4,nbme,test,0.1,0.8290333333333334,0.9095074525111996,0.8977666666666666,1.0367333333333333,0.8703666666666667,0.9633999999999999
2024-09-09 01:44:21,23.4min,8fa714e953f1463f8677841adff6e23d,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,5,spacy,test,0.1,0.7725333333333333,0.9278112464748444,0.9072666666666667,1.0101,0.8916666666666667,0.9762666666666666
2024-09-09 01:35:32,24.5min,f227c76ef6e74be89bee5acaaaf87016,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,3,nbme,test,0.1,0.8382333333333333,0.9160176487268499,0.9155666666666668,1.0196333333333334,0.8849000000000001,0.9594333333333332
2024-09-09 01:20:58,23.4min,d39a01eeb7a747f9bcbef0fb09c909a8,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,4,spacy,test,0.1,0.7702666666666667,0.9275474326846985,0.9127333333333333,1.0131333333333332,0.8903666666666668,0.9769
2024-09-09 01:11:21,24.2min,535fb217c8a745bea8e9b02c69f0f54f,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,2,nbme,test,0.1,0.8354333333333334,0.9158152358270577,0.9070333333333334,1.0070999999999999,0.8887666666666667,0.9548
2024-09-09 00:57:39,23.3min,e7e0c2b3086f4ea8bdb6227180ccf39b,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,3,spacy,test,0.1,0.7664333333333334,0.925175796371707,0.9174666666666667,1.0087333333333333,0.8931,0.9679
2024-09-09 00:46:51,24.5min,482b997ff1904cc88abc93c2153aaf43,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,1,nbme,test,0.1,0.8323333333333333,0.9122026033215184,0.9002333333333333,1.0402333333333333,0.8720333333333333,0.9658
2024-09-09 00:33:59,23.7min,ce71da7d7a0c403ab461237ab0436f33,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,2,spacy,test,0.1,0.7828666666666667,0.9317228027623086,0.9157,1.0120666666666667,0.8995000000000001,0.9742
2024-09-09 00:22:46,24.1min,2d3aa4383b5d49c480803f01dc4b0ebc,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,5,nbme,test,0.1,0.8225666666666667,0.9093844900915599,0.9000999999999999,1.0214999999999999,0.8710666666666667,0.9618000000000001
2024-09-09 00:10:43,23.3min,c0a0a1e7421c4aa2951326e5446e7260,Meta-Llama-3.1-70B-Instruct-loft-15shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,15,loft,1,spacy,test,0.1,0.7744,0.9279801231365451,0.9083666666666667,1.0138,0.894,0.9727999999999999
2024-09-08 23:59:04,23.7min,30f2cad993ce4435ad779e253c195f0f,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,4,nbme,test,0.1,0.8189666666666666,0.9038139435336747,0.891,1.0319,0.8642,0.9582333333333334
2024-09-08 23:47:15,23.5min,882b3fa079b1477881b2daa18b1d0867,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,5,spacy,test,0.1,0.7577,0.9247520798678276,0.9024333333333334,1.0066666666666666,0.8879,0.9734666666666667
2024-09-08 23:35:35,23.5min,25772f5ee2d14c15ba69894c85631631,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,3,nbme,test,0.1,0.8286666666666667,0.9090440032309713,0.9161333333333332,1.0109333333333335,0.8787999999999999,0.9521
2024-09-08 23:23:56,23.3min,c7b6b74012174a6d9db36eb83ab5e4dc,Meta-Llama-3.1-70B-Instruct-loft-10shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,10,loft,4,spacy,test,0.1,0.7596666666666667,0.9242940517494247,0.9009666666666667,1.0147666666666666,0.8840666666666668,0.9788333333333332
