Run ID;num_shots;prompt_name;seed;exact_match/mean;f1_score/mean;negative_ratio/mean;positive_ratio/mean;precision/mean;recall/mean
3c4195ce44e64f76ae578cb26ecee7b4;10;loft-v2;2;0.8510830216199748;0.9269186111880735;0.9287620824164943;1.016905249434661;0.8902584438981499;0.9747751045251044
b68192e7062b4c308b37e22a55c945de;10;loft-v2;1;0.8470830470410023;0.9242638946640462;0.9202986615780734;1.031531148589972;0.8822415066014138;0.9787053825803826
a4be12124c7d4e7fb64fdadfe8880e3e;8;loft-v2;5;0.8450425896699184;0.923658416890078;0.9180522954714131;1.033662253596077;0.8848056798865622;0.9756771006771008
76cd660786f54d518535976a244a7579;8;loft-v2;4;0.8421692373449676;0.9198779088424207;0.9140259976951154;1.044039760348584;0.8777722411031234;0.9757540977540977
1cd23b71b8b944f1b81af2e8e7e6e93d;8;loft-v2;3;0.8427082755764947;0.9201513670738685;0.9254781381472558;1.0354927980516215;0.8832329489682432;0.9701558534058534
865245c18c59418283df2da6bb871288;10;loft-with-instructions;5;0.7762127338794925;0.7662264420828324;0.965536701316113;0.6575857557475205;0.8920800520285814;0.7120145317645318
76e1ba5a149b4774b2538e87b1108717;8;loft-v2;2;0.8469009671548943;0.9239211483395909;0.9244649106340282;1.0239695759033993;0.8882436504127681;0.9717601102601103
dc964d9148744abd91107e26c3509676;10;loft-with-instructions;4;0.8248798846095151;0.8758746605386002;0.9570163189207307;0.8703683614860086;0.8922093829373241;0.8770007585007584
508caef2bcb84e7ea6951eff47abefcc;8;loft-v2;1;0.8400425600190878;0.9202608283749029;0.9126803988495166;1.047529853588677;0.8780532808694573;0.9769001184001184
23fac34f8435457789e3070a43762728;10;loft-with-instructions;3;0.7691741085714163;0.7519269201399714;0.9692271775065894;0.645385857878505;0.8786428259419745;0.6959697802197802
a1bb9514b0b34256acaaf6069b78fb0b;5;loft-v2;5;0.8462778432914756;0.9193302353082153;0.9206443219090278;1.0255216950805186;0.8791100239629651;0.9724896261146262
3e0c8b6c82874b409b31656d0d7ee686;10;loft-with-instructions;2;0.8014169499227684;0.82266012658656;0.9654883607677724;0.7430405286434698;0.8951488014479501;0.7888350630850631
337c8cd572474fdba7db8544824e0df7;5;loft-v2;4;0.8392967202313548;0.9138927897218457;0.9205675422072481;1.0237499020587257;0.873112220840162;0.9680766872016872
f506aaa155204f3d8a679a34e6374cd5;10;loft-with-instructions;1;0.8233429119895973;0.8752911319254029;0.9526745079539197;0.8615173157452568;0.8934404204183615;0.8743803418803417
f2b52b901ef943099b3b9512bd3a27ca;5;loft-v2;3;0.8424666025885941;0.9143436637897562;0.9272419048816107;1.0166451285642462;0.8787547773577186;0.9620383227883228
59bb1b74ad4b426ba2c768057198dd98;8;loft-with-instructions;5;0.7432902224204755;0.6889197083487518;0.9728493516287635;0.5608119356134061;0.8645058086764743;0.6180665260665261
74a4166be0a14e87bfefc7bd6b6079c6;5;loft-v2;2;0.845456519734858;0.917270842679981;0.9268580664977722;1.0146832802273977;0.8816826479620598;0.9652085507085508
46d680e225064bc9be3340c3f7e63756;8;loft-with-instructions;4;0.8032974052016991;0.8422761935049877;0.953677733486557;0.8201466169995582;0.8833398867214658;0.8313560328560328
7166427a985f44228b32aedbab401148;5;loft-v2;1;0.8404769243818107;0.9145095782851238;0.9157711256608316;1.0295753127591363;0.8721770381035087;0.9705814000814001
bdeba815794a4256b03167f9c816b8be;8;loft-with-instructions;3;0.7407071639791386;0.6838282766115561;0.9736709004503122;0.5501484740749446;0.8651263953911013;0.6093377964627965
b88f093127b04a19a994b9dff70c824e;3;loft-v2;5;0.8400491284641036;0.9177592228626039;0.9194225700769819;1.0030178892458304;0.8814465855495267;0.9674623709623709
00fdeb14479941c7aedf0f0ad5d63ab4;8;loft-with-instructions;2;0.7845978813952632;0.7884174783645127;0.968341765260883;0.6921750044617692;0.8933277185777185;0.7423624153624153
c8042fc23206444c94934d688c6810f7;3;loft-v2;4;0.8334782947333896;0.9101313765887398;0.9166994321038437;1.0110213302492714;0.8714208109428697;0.9637942612942613
70cc541f53784b34a579840306db334a;8;loft-with-instructions;1;0.8060160971371598;0.8468979335967409;0.9542609465697702;0.8188008701538113;0.8889072571735112;0.8338720076220076
441673db26d843ef8fc53e7539cf8a92;3;loft-v2;3;0.8399543601196717;0.9124347748077933;0.9276448154242273;0.997764470007117;0.8801589788207436;0.9579843952343953
06ae50e7c1b24395a50cd13ee4a4e69c;5;loft-with-instructions;5;0.7014410654212949;0.570679669007849;0.976013650293062;0.41829218031423915;0.8312877041259394;0.48536460761460765
d142ffd980474c80b7fc9a48564ba302;3;loft-v2;2;0.8414750527340176;0.9146770873672488;0.9251238687782806;0.9923333178259649;0.882931322490146;0.9600802160802162
1649e298a1e54b52bf019a6cc0b2a076;5;loft-with-instructions;4;0.7841416956921972;0.8211516170728188;0.9517083847525024;0.7803515093294505;0.8860621298779193;0.7981673696673697
481c7889037e47dc9eabade533588fe9;3;loft-v2;1;0.8320582863791708;0.9099804024385757;0.91121341811783;1.014713133816075;0.8689893216804983;0.9661699596699597
a911183d3f6d4fb09973a6ae5370aa17;5;loft-with-instructions;3;0.7044050755397169;0.5716058939833741;0.981218473247885;0.4151841791106497;0.8337536075036075;0.4839671439671439
cfe2723e7f714757bcd46909624962e1;2;loft-v2;5;0.8364142604969601;0.916909383069532;0.917492497426321;1.017536829455947;0.8783022628243218;0.9693606717356718
e0909e3999884cfcb145153b7262ded1;5;loft-with-instructions;2;0.7428151697370098;0.699511369867414;0.9698060278501455;0.5698839159206806;0.8874603231735585;0.6286626059126059
9dd27c39ae264f60b0f29772947e796b;2;loft-v2;4;0.8303370437157455;0.9108987960153376;0.9110755902594139;1.0286962348653523;0.8687157960956979;0.9683345913345912
abbd57916ec04c4593a10d75a4b7db59;5;loft-with-instructions;1;0.783646620353418;0.8137625208245858;0.9522463130551366;0.7674596987979341;0.8822539043200808;0.7879153994153995
e3e78530ef86427588fc9ebbb53b3164;2;loft-v2;3;0.8361167397915445;0.9130781021422458;0.9220414392252627;1.0168842783033958;0.8768119726134432;0.9630951224701224
db27c923af0c4c3cb981ac5ea7294e79;3;loft-with-instructions;5;0.7084115544173997;0.587624962980345;0.9778904877801936;0.4267610420625127;0.8392135965885966;0.49836509786509786
